VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
WBY8P8C53K,Kitsap,Bainbridge Island,WA,98110,2019,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,126,0,23,228846642,POINT (-122.5235781 47.6293323),PUGET SOUND ENERGY INC,53035091002
1G1FZ6S07M,Yakima,Yakima,WA,98908,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,156686106,POINT (-120.6027202 46.5965625),PACIFICORP,53077000903
WA1E2AFY4M,Snohomish,Lynnwood,WA,98036,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,1,168371122,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051913
1N4AZ0CP0F,King,Seattle,WA,98119,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,36,126304132,POINT (-122.363815 47.63046),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005901
1N4AZ0CP6D,King,Seattle,WA,98107,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,43,100938848,POINT (-122.37815 47.66866),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800
1N4AZ0CP6D,Snohomish,Lynnwood,WA,98087,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,21,139800496,POINT (-122.2551991 47.8650827),PUGET SOUND ENERGY INC,53061042004
1N4BZ0CP3H,Snohomish,Bothell,WA,98021,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,1,348979466,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051937
5YJ3E1EB4L,King,Seattle,WA,98126,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,34,121690915,POINT (-122.374105 47.54468),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009900
5YJ3E1EA5K,Yakima,Yakima,WA,98903,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,14,198205521,POINT (-120.477805 46.553505),PACIFICORP,53077002803
1N4BZ0CP4H,Thurston,Olympia,WA,98506,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,22,150612332,POINT (-122.8874781 47.0519573),PUGET SOUND ENERGY INC,53067010300
WBY1Z4C51E,King,Renton,WA,98059,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,11,254498436,POINT (-122.15734 47.487175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025101
1FADP5CUXD,Yakima,Yakima,WA,98902,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,14,132294879,POINT (-120.524012 46.5973939),PACIFICORP,53077001000
KNDCD3LD6J,King,Seattle,WA,98118,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,37,170260471,POINT (-122.28339 47.549285),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011101
JN1AZ0CP8C,Thurston,Tenino,WA,98589,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,20,131685669,POINT (-122.85403 46.856085),PUGET SOUND ENERGY INC,53067012620
1FADP5CU4G,Thurston,Olympia,WA,98501,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,22,101841806,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010700
1N4AZ1CP4J,Thurston,Olympia,WA,98501,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,22,475432268,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010700
WA1AAAGE4M,King,Seattle,WA,98108,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,222,0,37,156817314,POINT (-122.3268963 47.5499519),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010401
5YJ3E1EBXL,King,Seattle,WA,98126,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,34,4706670,POINT (-122.374105 47.54468),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009900
1N4AZ1CP1J,King,Seattle,WA,98108,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,37,180887143,POINT (-122.3268963 47.5499519),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010401
KNDJX3AE9H,Thurston,Olympia,WA,98502,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,22,140569600,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067012002
WBY2Z2C54H,King,Seattle,WA,98121,2017,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,36,215133656,POINT (-122.344125 47.61546),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007201
5YJ3E1EA5P,Thurston,Lacey,WA,98516,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,260749422,POINT (-122.7474291 47.0821119),PUGET SOUND ENERGY INC,53067012226
KNDAEFS54R,Snohomish,Brier,WA,98036,2024,KIA,EV9,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,260657281,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051914
1N4AZ1CP7J,Thurston,Olympia,WA,98501,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,22,175343374,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010100
5UXKT0C38H,King,Seattle,WA,98115,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,46,313496655,POINT (-122.3185 47.67949),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002100
1N4AZ1CP0K,Thurston,Olympia,WA,98501,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,22,347436820,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067011721
5YJ3E1EB0N,Thurston,Olympia,WA,98513,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,205746894,POINT (-122.817545 46.98876),PUGET SOUND ENERGY INC,53067011624
WMEFJ9BA8H,Thurston,Olympia,WA,98502,2017,SMART,FORTWO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,0,22,257247357,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067012002
1N4AZ0CP1D,King,Shoreline,WA,98155,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,32,221188747,POINT (-122.3175 47.7578146),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020500
5YJ3E1EA5L,Thurston,Rochester,WA,98579,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,20,128514494,POINT (-123.09575 46.82114),PUGET SOUND ENERGY INC,53067012730
WBY1Z4C54F,King,Seattle,WA,98144,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,37,257160480,POINT (-122.30823 47.581975),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009500
5YJ3E1EA1J,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,476172749,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051926
5YJ3E1EB7K,Thurston,Tenino,WA,98589,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,35,207105636,POINT (-122.85403 46.856085),PUGET SOUND ENERGY INC,53067012610
KNDRMDLH4P,Yakima,Yakima,WA,98908,2023,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,14,245761666,POINT (-120.6027202 46.5965625),PACIFICORP,53077000401
5YJ3E1EA3J,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,196800978,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051926
KNDCC3LG6L,Thurston,Lacey,WA,98503,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,22,152718450,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011626
WVWPP7AU9F,Island,Coupeville,WA,98239,2015,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,0,10,161720065,POINT (-122.6880708 48.2179983),PUGET SOUND ENERGY INC,53029971100
1N4AZ0CP7D,King,Renton,WA,98056,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,11,163516972,POINT (-122.180505 47.500055),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025500
KNDCC3LG8K,King,Renton,WA,98057,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,37,9956040,POINT (-122.21024 47.4797047),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025302
7SAYGDEE7P,Yakima,Yakima,WA,98908,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,240646983,POINT (-120.6027202 46.5965625),PACIFICORP,53077000401
JTDKARFP8H,Yakima,Yakima,WA,98901,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,15,186766996,POINT (-120.500225 46.6043),PACIFICORP,53077001602
5YJSA1E27J,Yakima,Yakima,WA,98908,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,14,261357134,POINT (-120.6027202 46.5965625),PACIFICORP,53077002900
